author_name	lastname	forename	person_ID	faculty	institution	institution_long
Hagen P	NN	NN	FIS_50378	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Rauch B	NN	NN	FIS_79853	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Beyer G	NN	NN	FIS_79864	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Winkler P	NN	NN	FIS_26949	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Delin M	Delin	Martin	FIS_1880	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Bekeschus S	NN	NN	FIS_19634	Mathematisch-Naturwissenschaftliche Fakultät	INP	Leibniz-Institut für Plasmaforschung und Technologie e.V. (INP)
Raus C	Raus	Christina	FIS_54656	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Allgemeinmedizin
Simon P	NN	NN	FIS_79908	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Stecher S	NN	NN	FIS_73795	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Rollberg R	Rollberg	Roland	FIS_53614	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für ABWL und Produktionswirtschaft
Behnisch S	NN	NN	FIS_45177	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische und Medizinische Chemie
Bauch A	NN	NN	FIS_19840	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Freitag S	NN	NN	FIS_79928	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Gesundheit und Prävention
Schmidt S	NN	NN	FIS_79938	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Gesundheit und Prävention
Mehlan H	NN	NN	FIS_44957	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Kulke M	NN	NN	FIS_64439	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Biophysikalische Chemie
Stender J	NN	NN	FIS_79991	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Physiologische und Klinische Psychologie/Psychotherapie
Pané-Farré C	NN	NN	FIS_79993	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Physiologische und Klinische Psychologie/Psychotherapie
Weber S	NN	NN	FIS_77847	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin
Van der Auwera S	NN	NN	FIS_78376	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Marschall P	NN	NN	FIS_73681	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften
Van der Auwera S	NN	NN	FIS_80052	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Werner N	NN	NN	FIS_80060	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
Bülow R	NN	NN	FIS_80061	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Schössow J	Schössow	Janka	FIS_62355	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
nowak s	NN	NN	FIS_80096	Universitätsmedizin Greifswald	Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
nn n	NN	NN	FIS_80111	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Kalinowski M	NN	NN	FIS_80112	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Hahnenkamp A	Hahnenkamp	Anke	FIS_65852	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Kühn A	Kühn	Anja	FIS_45900	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Sonnwald P	NN	NN	FIS_80115	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Kuschnertschuk M	NN	NN	FIS_80114	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Ahmed M	NN	NN	FIS_62356	Universitätsmedizin Greifswald	Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
Spitzmueller R	NN	NN	FIS_63565	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Kleinke F	Kleinke	Fabian	FIS_69896	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Duscha D	NN	NN	FIS_80158	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Simon P	NN	NN	FIS_80159	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Kuhn J	NN	NN	FIS_78062	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Simon P	NN	NN	FIS_80167	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Weber R	NN	NN	FIS_24090	Universitätsmedizin Greifswald	HNO	Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie
Vogt K	NN	NN	FIS_59225	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Wolf R	NN	NN	FIS_80227	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Vogel C	NN	NN	FIS_80228	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Rauch B	NN	NN	FIS_80230	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Gräler M	NN	NN	FIS_80229	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie, AK Klinische Pharmazie (Leitung: Prof. Dr. Christoph Ritter)
Scheuch E	NN	NN	FIS_80233	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Oswald S	NN	NN	FIS_80234	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Hasan M	NN	NN	FIS_80235	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Grube M	NN	NN	FIS_60255	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Berlin S	NN	NN	FIS_80231	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Siegmund W	NN	NN	FIS_80239	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Aghdassi A	NN	NN	FIS_80251	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Kühn J	NN	NN	FIS_80250	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Schmidt K	NN	NN	FIS_2064	Universitätsmedizin Greifswald	Anatomie	Institut für Anatomie und Zellbiologie
Artelt N	NN	NN	FIS_45887	Universitätsmedizin Greifswald	Anatomie	Institut für Anatomie und Zellbiologie
Döring F	NN	NN	FIS_70553	Universitätsmedizin Greifswald	Anatomie	Institut für Anatomie und Zellbiologie
Gaube B	NN	NN	FIS_80344	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Differentielle und Persönlichkeitspsychologie/Psychologische Diagnostik
Plis A	Plis	Andrzej	FIS_29819	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Schmidt S	Schmidt	Stefanie	FIS_45432	Universitätsmedizin Greifswald	Dezernat Einkauf	ZV Dezernat Einkauf 
Sonke J	NN	NN	FIS_67032	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Peters K	NN	NN	FIS_80370	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Holm J	NN	NN	FIS_67035	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Peters M	Peters	Michele	FIS_1357	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Calvisi D	NN	NN	FIS_80364	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Dombrowski F	NN	NN	FIS_80376	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Hassel V	Hassel	Verena	FIS_75831	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement
Schwendler M	NN	NN	FIS_71318	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement
Süss R	NN	NN	FIS_75508	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement
Rehner L	Rehner	Laura Kerstin	FIS_76292	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Witt E	NN	NN	FIS_50377	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Walther T	Walther	Thomas	FIS_75827	Universitätsmedizin Greifswald	Mediz. Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
Gardemann A	NN	NN	FIS_24350	Universitätsmedizin Greifswald	Mediz. Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
Agewall S	NN	NN	FIS_80436	Universitätsmedizin Greifswald	Mediz. Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
Schuldt R	Schuldt	Ronny	FIS_50976	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Blumentritt A	Blumentritt	Arne	FIS_31334	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Gött R	Gött	Robert	FIS_25798	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Seyfart T	NN	NN	FIS_80443	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Stübs G	Stübs	Gunthard	FIS_49807	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Kuhn S	NN	NN	FIS_70634	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Rogge H	NN	NN	FIS_80538	Universitätsmedizin Greifswald	Anatomie	Institut für Anatomie und Zellbiologie
Nowak S	Nowak	Stephan	FIS_67029	Universitätsmedizin Greifswald	Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
Müller J	Müller	Jonas	FIS_67007	Universitätsmedizin Greifswald	Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
Schroeder H	NN	NN	FIS_80549	Universitätsmedizin Greifswald	Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
Weiss M	NN	NN	FIS_65372	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Aumann N	NN	NN	FIS_80606	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
Süße M	Süsse	Marie	FIS_31344	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Lange J	NN	NN	FIS_72519	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Steinig I	NN	NN	FIS_80610	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
von Oertzen T	NN	NN	FIS_79743	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Strauß B	NN	NN	FIS_20951	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Flöel A	Flöel	Agnes	FIS_76008	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Domahs F	NN	NN	FIS_80738	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Bohlken J	NN	NN	FIS_80761	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Rowold E	NN	NN	FIS_80778	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Van der Auwera S	NN	NN	FIS_80779	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Freyberger H	NN	NN	FIS_79059	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
John D	NN	NN	FIS_80940	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Beyer G	NN	NN	FIS_80942	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Bulla T	NN	NN	FIS_80943	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Weber E	Weber	Eckhard	FIS_919	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Storck K	Storck	Kirsten	FIS_69801	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Antonenko D	Antonenko	Daria	FIS_77227	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Ladenbauer J	Ladenbauer	Julia	FIS_76134	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Petsch T	NN	NN	FIS_80990	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Maybauer W	NN	NN	FIS_78	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Speck A	NN	NN	FIS_80994	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Steinhart I	NN	NN	FIS_25929	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Meinzer M	NN	NN	FIS_80753	Universitätsmedizin Greifswald	Neurologie	Klinik und Poliklinik für Neurologie
Göhler A	NN	NN	FIS_81040	Universitätsmedizin Greifswald	FLI Medizinische Mikrobiologie	Friedrich Loeffler Institut für Medizinische Mikrobiologie
Hartleib J	Hartleib	Jörg	FIS_36303	Mathematisch-Naturwissenschaftliche Fakultät	Geo	Institut für Geographie und Geologie / AG Kartographie und Geographische Informationssysteme (GIS)
Lange C	NN	NN	FIS_56399	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische und Medizinische Chemie
Werth P	NN	NN	FIS_65388	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische und Medizinische Chemie
Endres S	NN	NN	FIS_81097	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Pill L	NN	NN	FIS_81098	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Zinke A	Zinke	Andreas	FIS_31	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Klinik und Poliklinik für Nuklearmedizin
Weiss F	NN	NN	FIS_81103	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Simon P	NN	NN	FIS_81120	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Mundt T	NN	NN	FIS_53820	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnärztliche Prothetik, Alterszahnheilkunde und Medizinische Werkstoffkunde
Thede G	NN	NN	FIS_44958	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioanorganische Chemie
Vojacek S	NN	NN	FIS_59982	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische/Medizinische Chemie
Morgenstern O	NN	NN	FIS_34569	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische/Medizinische Chemie
Rahim S	NN	NN	FIS_81159	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioanorganische Chemie
Biswas S	NN	NN	FIS_81166	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioanorganische Chemie
Chrysochos N	NN	NN	FIS_63511	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Stoffwechselbiochemie / Metabolomics
Chrysochos N	NN	NN	FIS_81176	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioanorganische Chemie
Cammann C	Cammann	Clemens	FIS_71102	Universitätsmedizin Greifswald	FLI Medizinische Mikrobiologie	Friedrich Loeffler Institut für Medizinische Mikrobiologie
Schinkels B	Schinkels	Boris	FIS_53658	Rechts- und Staatswissenschaftliche Fakultät	Jura	Fachbereich Rechtswissenschaften / LS für Bürgerliches Recht, Internationales und Europäisches Privatrecht, Rechtsvergleichung und Rechtsharmonisierung im Ostseeraum
Israel N	NN	NN	FIS_75496	Universitätsmedizin Greifswald	FLI Medizinische Mikrobiologie	Friedrich Loeffler Institut für Medizinische Mikrobiologie
DGVS D	NN	NN	FIS_81229	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
DGVS D	NN	NN	FIS_81249	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Abbas M	NN	NN	FIS_81269	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnärztliche Prothetik, Alterszahnheilkunde und Medizinische Werkstoffkunde
Hartmann A	NN	NN	FIS_81274	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnärztliche Prothetik, Alterszahnheilkunde und Medizinische Werkstoffkunde
Lode H	NN	NN	FIS_81284	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Jüttner M	NN	NN	FIS_81298	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Kühlewindt I	NN	NN	FIS_78429	Universitätsmedizin Greifswald	Mediz. Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
Ceylan K	NN	NN	FIS_89217	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie
Jahns L	NN	NN	FIS_89218	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie
Lode B	NN	NN	FIS_77222	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Szczotkowski D	Szczotkowski	Daniel	FIS_25801	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine/ Abteilung für Methoden der Community Medicine
Hahndorf W	NN	NN	FIS_58038	Universitätsmedizin Greifswald	Frauenheilkunde und Geburtshilfe	Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
Alwafai Z	Alwafai	Zaher	FIS_53197	Universitätsmedizin Greifswald	Frauenheilkunde und Geburtshilfe	Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
Möller S	NN	NN	FIS_187	Universitätsmedizin Greifswald	Frauenheilkunde und Geburtshilfe	Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
Simon P	NN	NN	FIS_81402	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Modess C	NN	NN	FIS_81460	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Fassauer G	NN	NN	FIS_65298	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische/Medizinische Chemie
Hofstetter R	NN	NN	FIS_70092	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische/Medizinische Chemie
Bock C	NN	NN	FIS_58251	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische/Medizinische Chemie
Bartel A	NN	NN	FIS_81495	Universitätsmedizin Greifswald	FLI Medizinische Mikrobiologie	Friedrich Loeffler Institut für Medizinische Mikrobiologie
Weilandt G	Weilandt	Gerhard	FIS_49237	Caspar-David-Friedrich Institut	CDFI	Caspar-David-Friedrich Institut / LS für Kunstgeschichte
Paperlein C	NN	NN	FIS_73823	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Much C	Much	Christiane Dörte	FIS_78474	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Unger J	NN	NN	FIS_77765	Universitätsmedizin Greifswald	Frauenheilkunde und Geburtshilfe	Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
Gieron L	NN	NN	FIS_81545	Universitätsmedizin Greifswald	Frauenheilkunde und Geburtshilfe	Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
Hasan M	NN	NN	FIS_80657	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Udas E	NN	NN	FIS_81648	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Wölk M	NN	NN	FIS_81649	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Lührs F	NN	NN	FIS_81650	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Heidecke C	NN	NN	FIS_90904	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Adler F	Adler	Frank	FIS_980	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Klinik und Poliklinik für Strahlentherapie
Shetti R	NN	NN	FIS_81658	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
van der Maaten-Theunissen M	NN	NN	FIS_63091	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
van der Maaten E	NN	NN	FIS_63087	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Trouillier M	NN	NN	FIS_63748	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Lange J	NN	NN	FIS_53220	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Mrochen D	NN	NN	FIS_81714	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
Trimcev E	Trimcev	Eno	FIS_65344	Philosophische Fakultät	Politik- und Kommunikationswissenschaft	Institut für Politik- und Kommunikationswissenschaft / LS für Politische Theorie und Ideengeschichte
Liebscher V	NN	NN	FIS_81727	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Biomathematik
Lohaus M	NN	NN	FIS_70173	Philosophische Fakultät	Politik- und Kommunikationswissenschaft	Institut für Politik- und Kommunikationswissenschaft / LS für Internationale Beziehungen und Regionalstudien
Kreuzmair E	Kreuzmair	Elias	FIS_49299	Philosophische Fakultät	Deutsche Philologie	Institut für Deutsche Philologie / LS für Neuere deutsche Literatur und Literaturtheorie (Schumacher)
Zieseler L	Zieseler	Laura	FIS_49302	Philosophische Fakultät	Fennistik und Skandinavistik	Institut für Fennistik und Skandinavistik / LS für Skandinavistische Sprachwissenschaft
Gross S	NN	NN	FIS_65443	Universitätsmedizin Greifswald	Kaufmännisches Direktorat	Kaufmännisches Direktorat
Eckerle L	Eckerle	Lars Gregor	FIS_1916	Universitätsmedizin Greifswald	Kaufmännisches Direktorat	Kaufmännisches Direktorat
Schuldt E	NN	NN	FIS_81772	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Heil M	NN	NN	FIS_81785	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Entwicklungspsychologie und Pädagogische Psychologie
Atlas C	Atlas	Caroline	FIS_77235	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Junge M	NN	NN	FIS_80282	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
